"date","open","high","low","close"
2017-03-08,9738,9765,9701,9748
2017-03-09,9740,9741,9642,9650
2017-03-10,9643,9652,9555,9626
2017-03-13,9640,9698,9640,9693
2017-03-14,9719,9767,9712,9748
2017-03-15,9744,9746,9715,9730
2017-03-16,9810,9850,9789,9844
2017-03-17,9854,9904,9841,9897
2017-03-20,9881,9913,9865,9906
2017-03-21,9931,9980,9926,9968
2017-03-22,9900,9912,9860,9902
2017-03-23,9944,9959,9888,9917
2017-03-24,9924,9928,9890,9905
2017-03-27,9888,9916,9850,9870
2017-03-28,9920,9930,9807,9883
2017-03-29,9900,9904,9853,9860
2017-03-30,9860,9880,9838,9848
2017-03-31,9856,9866,9807,9815
2017-04-05,9841,9967,9841,9967
2017-04-06,9923,9938,9883,9893
2017-04-07,9904,9904,9790,9867
2017-04-10,9862,9896,9851,9884
2017-04-11,9866,9896,9822,9829
2017-04-12,9818,9830,9776,9812
2017-04-13,9797,9869,9792,9847
2017-04-14,9805,9809,9711,9716
2017-04-17,9740,9754,9680,9722
2017-04-18,9759,9772,9721,9737
2017-04-19,9699,9699,9632,9639
2017-04-20,9600,9653,9600,9631
2017-04-21,9680,9717,9672,9709
2017-04-24,9709,9771,9691,9712
2017-04-25,9735,9832,9735,9824
2017-04-26,9870,9873,9838,9848
2017-04-27,9846,9857,9820,9848
2017-04-28,9855,9894,9847,9866
2017-05-02,9910,9953,9910,9935
2017-05-03,9935,9968,9935,9942
2017-05-04,9956,9971,9934,9968
2017-05-05,9960,9960,9891,9893
2017-05-08,9939,9965,9903,9932
2017-05-09,9925,9997,9905,9907
2017-05-10,9942,9959,9918,9949
2017-05-11,9962,9997,9946,9989
2017-05-12,9980,9996,9965,9981
2017-05-15,9988,10031,9976,10027
2017-05-16,10043,10055,10000,10023
2017-05-17,9989,10009,9976,9988
2017-05-18,9913,9962,9886,9960
2017-05-19,9978,9978,9937,9938
2017-05-22,9989,9989,9955,9983
2017-05-23,9996,10026,9983,10002
2017-05-24,10006,10038,10006,10037
2017-05-25,10052,10114,10052,10114
2017-05-26,10136,10136,10083,10093
2017-05-31,10091,10100,10030,10035
2017-06-01,10036,10084,10031,10079
2017-06-02,10131,10146,10117,10142
2017-06-03,10156,10163,10144,10160
2017-06-05,10148,10219,10130,10217
2017-06-06,10213,10213,10195,10195
2017-06-07,10192,10232,10176,10194
2017-06-08,10210,10226,10194,10220
2017-06-09,10241,10257,10194,10199
2017-06-12,10135,10161,10115,10124
2017-06-13,10136,10147,10113,10137
2017-06-14,10160,10166,10021,10063
2017-06-15,10051,10075,10017,10073
2017-06-16,10076,10159,10061,10147
2017-06-19,10164,10250,10162,10241
2017-06-20,10277,10352,10267,10321
2017-06-21,10212,10290,10206,10270
2017-06-22,10286,10333,10283,10333
2017-06-23,10326,10343,10300,10311
2017-06-26,10301,10518,10301,10505
2017-06-27,10515,10531,10480,10493
2017-06-28,10399,10434,10354,10355
2017-06-29,10418,10453,10360,10393
2017-06-30,10309,10365,10304,10356
2017-07-03,10373,10415,10355,10415
2017-07-04,10425,10425,10332,10336
2017-07-05,10271,10362,10251,10362
2017-07-06,10385,10387,10308,10311
2017-07-07,10291,10305,10270,10273
2017-07-10,10293,10300,10255,10271
2017-07-11,10291,10418,10290,10406
2017-07-12,10346,10384,10330,10341
2017-07-13,10390,10442,10371,10421
2017-07-14,10418,10423,10391,10402
2017-07-17,10457,10480,10414,10436
2017-07-18,10428,10465,10407,10463
2017-07-19,10463,10507,10435,10473
2017-07-20,10498,10510,10463,10478
2017-07-21,10466,10466,10416,10416
2017-07-24,10387,10450,10375,10448
2017-07-25,10454,10473,10432,10454
2017-07-26,10437,10489,10384,10391
2017-07-27,10430,10511,10428,10504
2017-07-28,10449,10460,10388,10404
2017-07-31,10396,10420,10359,10417
2017-08-01,10421,10473,10416,10422
2017-08-02,10452,10493,10448,10484
2017-08-03,10450,10463,10368,10442
2017-08-04,10433,10493,10433,10478
2017-08-07,10509,10572,10509,10563
2017-08-08,10586,10600,10530,10566
2017-08-09,10470,10497,10437,10453
2017-08-10,10475,10485,10309,10329
2017-08-11,10230,10327,10225,10303
2017-08-14,10342,10356,10223,10230
2017-08-15,10310,10330,10261,10308
2017-08-16,10257,10284,10231,10264
2017-08-17,10295,10357,10290,10335
2017-08-18,10263,10307,10246,10300
2017-08-21,10302,10323,10266,10316
2017-08-22,10363,10397,10349,10388
2017-08-23,10413,10472,10369,10383
2017-08-24,10400,10482,10394,10474
2017-08-25,10498,10518,10467,10514
2017-08-28,10505,10538,10485,10517
2017-08-29,10482,10510,10457,10492
2017-08-30,10536,10570,10524,10556
2017-08-31,10597,10606,10562,10577
2017-09-01,10602,10618,10570,10599
2017-09-04,10575,10604,10564,10577
2017-09-05,10608,10613,10560,10611
2017-09-06,10541,10591,10513,10545
2017-09-07,10579,10585,10500,10507
2017-09-08,10522,10592,10514,10572
2017-09-11,10655,10657,10563,10585
2017-09-12,10624,10629,10590,10608
2017-09-13,10595,10602,10510,10521
2017-09-14,10515,10545,10486,10530
2017-09-15,10527,10570,10491,10568
2017-09-18,10605,10649,10581,10638
2017-09-19,10648,10657,10568,10578
2017-09-20,10544,10568,10508,10530
2017-09-21,10523,10598,10492,10592
2017-09-22,10570,10572,10449,10452
2017-09-25,10452,10470,10333,10348
2017-09-26,10310,10377,10270,10270
2017-09-27,10306,10349,10304,10340
2017-09-28,10364,10364,10288,10315
2017-09-29,10316,10336,10279,10329
2017-09-30,10369,10402,10365,10392
2017-10-02,10406,10466,10402,10463
2017-10-03,10484,10484,10447,10477
2017-10-05,10458,10526,10458,10515
2017-10-06,10546,10551,10514,10536
2017-10-11,10555,10647,10554,10633
2017-10-12,10655,10705,10640,10699
2017-10-13,10686,10713,10670,10710
2017-10-16,10745,10762,10710,10756
2017-10-17,10776,10781,10720,10722
2017-10-18,10768,10780,10701,10729
2017-10-19,10751,10805,10746,10769
2017-10-20,10737,10766,10711,10732
2017-10-23,10769,10790,10734,10742
2017-10-24,10728,10761,10725,10757
2017-10-25,10765,10785,10737,10745
2017-10-26,10718,10753,10708,10731
2017-10-27,10755,10795,10695,10716
2017-10-30,10769,10831,10742,10754
2017-10-31,10760,10816,10744,10794
2017-11-01,10833,10833,10792,10823
2017-11-02,10786,10815,10764,10795
2017-11-03,10815,10819,10764,10801
2017-11-06,10804,10838,10766,10783
2017-11-07,10802,10836,10790,10835
2017-11-08,10811,10824,10796,10805
2017-11-09,10812,10823,10706,10721
2017-11-10,10687,10737,10662,10729
2017-11-13,10711,10726,10688,10691
2017-11-14,10694,10714,10638,10683
2017-11-15,10646,10651,10604,10616
2017-11-16,10600,10643,10591,10633
2017-11-17,10725,10725,10687,10710
2017-11-20,10722,10728,10670,10673
2017-11-21,10697,10791,10696,10791
2017-11-22,10828,10878,10822,10833
2017-11-23,10840,10865,10820,10862
2017-11-24,10850,10867,10840,10867
2017-11-27,10854,10854,10750,10761
2017-11-28,10741,10756,10699,10710
2017-11-29,10749,10765,10714,10734
2017-11-30,10652,10665,10573,10580
2017-12-01,10602,10670,10505,10607
2017-12-04,10608,10656,10576,10656
2017-12-05,10602,10627,10551,10575
2017-12-06,10554,10554,10393,10393
2017-12-07,10387,10430,10339,10367
2017-12-08,10394,10420,10350,10401
2017-12-11,10421,10496,10421,10481
2017-12-12,10499,10499,10400,10436
2017-12-13,10433,10474,10420,10451
2017-12-14,10510,10583,10498,10528
2017-12-15,10510,10515,10421,10485
2017-12-18,10528,10531,10456,10502
2017-12-19,10521,10530,10443,10455
2017-12-20,10466,10519,10461,10519
2017-12-21,10502,10547,10486,10503
2017-12-22,10508,10541,10488,10541
2017-12-25,10562,10575,10531,10534
2017-12-26,10538,10541,10420,10424
2017-12-27,10411,10488,10406,10484
2017-12-28,10520,10595,10510,10568
2017-12-29,10597,10650,10586,10639
2018-01-02,10636,10715,10634,10714
2018-01-03,10746,10799,10743,10796
2018-01-04,10836,10852,10787,10852
2018-01-05,10852,10873,10811,10868
2018-01-08,10910,11777,10859,10897
2018-01-09,10900,10918,10863,10897
2018-01-10,10887,10904,10806,10809
2018-01-11,10807,10834,10766,10800
2018-01-12,10827,10898,10817,10878
2018-01-15,10930,10958,10902,10957
2018-01-16,10936,10987,10917,10983
2018-01-17,10955,11005,10950,10997
2018-01-18,11049,11135,11049,11057
2018-01-19,11083,11148,11083,11145
2018-01-22,11148,11230,11122,11230
2018-01-23,11246,11264,11200,11238
2018-01-24,11234,11234,11103,11134
2018-01-25,11134,11275,11124,11158
2018-01-26,11176,11189,11097,11150
2018-01-29,11228,11246,11170,11207
2018-01-30,11159,11197,11073,11075
2018-01-31,11051,11142,11030,11108
2018-02-01,11133,11205,11124,11167
2018-02-02,11115,11140,11065,11126
2018-02-05,10858,10963,10858,10942
2018-02-06,10653,10679,10251,10398
2018-02-07,10605,10668,10510,10515
2018-02-08,10528,10595,10492,10519
2018-02-09,10200,10368,10123,10354
2018-02-12,10421,10438,10377,10410
2018-02-21,10624,10704,10580,10703
2018-02-22,10650,10667,10615,10643
2018-02-23,10703,10802,10701,10795
2018-02-26,10885,10885,10820,10837
2018-02-27,10909,10923,10804,10805
2018-03-01,10687,10789,10637,10750
2018-03-02,10625,10710,10603,10694
2018-03-05,10717,10759,10619,10651
2018-03-06,10743,10803,10729,10800
2018-03-07,10746,10818,10723,10726
2018-03-08,10795,10859,10787,10841
2018-03-09,10930,10930,10842,10878
2018-03-12,10978,11030,10966,11028
2018-03-13,11033,11111,11016,11110
2018-03-14,11049,11067,11003,11031
2018-03-15,10994,11068,10986,11043
2018-03-16,11040,11043,10922,11017
2018-03-19,10980,11054,10959,11028
2018-03-20,10972,11025,10957,11012
2018-03-21,11017,11052,11010,11017
2018-03-22,11044,11133,10977,11005
2018-03-23,10755,10830,10729,10751
2018-03-26,10699,10864,10699,10862
2018-03-27,10964,11007,10925,11007
2018-03-28,10911,10919,10834,10837
2018-03-29,10846,10873,10797,10860
2018-03-30,10941,10985,10922,10931
2018-03-31,10953,10961,10927,10940
2018-04-02,10928,10969,10864,10881
2018-04-03,10796,10815,10760,10803
2018-04-09,10900,10921,10829,10914
2018-04-10,10888,10990,10867,10952
2018-04-11,10960,11007,10948,10978
2018-04-12,10992,11024,10905,10942
2018-04-13,10968,10988,10920,10956
2018-04-16,10975,10976,10908,10942
2018-04-17,10958,10964,10801,10807
2018-04-18,10855,10890,10803,10856
2018-04-19,10875,10984,10875,10978
2018-04-20,10887,10887,10785,10788
2018-04-23,10737,10776,10697,10699
2018-04-24,10702,10702,10560,10586
2018-04-25,10506,10567,10480,10546
2018-04-26,10593,10630,10482,10486
2018-04-27,10566,10570,10492,10563
2018-04-30,10594,10657,10546,10657
2018-05-02,10618,10670,10608,10614
2018-05-03,10579,10580,10498,10513
2018-05-04,10517,10557,10483,10535
2018-05-07,10606,10624,10543,10605
2018-05-08,10600,10681,10599,10680
2018-05-09,10688,10731,10667,10703
2018-05-10,10735,10770,10722,10764
2018-05-11,10815,10865,10807,10860
2018-05-14,10923,10968,10890,10957
2018-05-15,10943,10962,10857,10864
2018-05-16,10846,10898,10846,10892
2018-05-17,10929,10942,10836,10836
2018-05-18,10853,10882,10829,10831
2018-05-21,10875,10976,10875,10976
2018-05-22,10983,11020,10937,10937
2018-05-23,10933,10969,10875,10875
2018-05-24,10887,10940,10875,10935
2018-05-25,10940,10970,10914,10947
2018-05-28,10984,10999,10958,10996
2018-05-29,10985,10985,10924,10957
